City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mahebourg,MU,76.24,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
3,Butaritari,KI,81.46,broken clouds,3.0707,172.7902,Isles Sunset Lodge
12,Hithadhoo,MV,81.48,overcast clouds,-0.6,73.0833,Scoop Guest House
14,Rikitea,PF,79.03,clear sky,-23.1203,-134.9692,People ThankYou
18,Cidreira,BR,77.47,clear sky,-30.1811,-50.2056,Hotel Castelo
20,Kapaa,US,76.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Luderitz,,78.48,overcast clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
22,Mattru,SL,78.91,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
33,Kieta,PG,78.03,light rain,-6.2167,155.6333,Uruna Bay Retreat
34,Chuy,UY,79.32,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
41,Vanimo,PG,76.42,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
51,Hilo,US,78.24,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
53,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
56,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
58,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
59,Linhares,BR,79.56,light rain,-19.3911,-40.0722,Hotel Conceição
65,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
66,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
68,Morant Bay,JM,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
72,Parana,AR,83.03,overcast clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
80,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Cabo San Lucas,MX,78.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
87,Moerai,PF,79.27,overcast clouds,-22.4333,-151.3333,Le Manotel
90,Isangel,VU,80.28,overcast clouds,-19.55,169.2667,Tanna Lodge
92,Kavieng,PG,80.4,moderate rain,-2.5744,150.7967,Nusa Island Retreat
96,Namibe,AO,75.88,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
103,Kahului,US,79.86,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
104,Paita,PE,88.36,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
107,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
113,Biak,ID,75.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
114,Fayaoue,NC,82.65,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
115,Inirida,CO,89.82,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
117,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
121,Port-Gentil,GA,80.96,few clouds,-0.7193,8.7815,Fengshui Residence
125,Alta Floresta,BR,78.85,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
127,San-Pedro,CI,80.46,overcast clouds,4.7485,-6.6363,Hotel Maria
128,Maragogi,BR,83.46,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
129,Kuching,MY,75.42,light rain,1.55,110.3333,The Ranee Boutique Suites
132,Laguna,US,77.34,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
138,Male,MV,81.27,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
139,Noumea,NC,81.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
140,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
142,Antalaha,MG,75.25,few clouds,-14.9003,50.2788,Hotel Vitasoa
147,Sakhon Nakhon,TH,82.15,overcast clouds,17.1612,104.1472,บริษัท สกลแกรนด์พาเลซ จำกัด
149,Malindi,KE,77.52,scattered clouds,-3.2175,40.1191,African House Resort
151,Castro,BR,77.09,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
156,Harper,LR,80.08,broken clouds,4.375,-7.7169,Screensaver
160,Tarauaca,BR,82.98,heavy intensity rain,-8.1614,-70.7656,Flat Temporada
162,Moengo,SR,77.45,broken clouds,5.6167,-54.4,Masanga
172,Padang,ID,77.27,heavy intensity rain,-0.9492,100.3543,Mercure Padang
174,Lorengau,PG,81.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
177,Keetmanshoop,,77.88,light rain,-26.5833,18.1333,Quiver Inn Guesthouse
180,Mucuri,BR,81.12,broken clouds,-18.0864,-39.5508,La Bodeguita Pousada
182,Ambulu,ID,75.7,light rain,-8.345,113.6058,Hotel Ambulu Jember
186,San Patricio,US,79.21,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
194,Moanda,GA,77.07,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
195,Sao Filipe,CV,78.28,few clouds,14.8961,-24.4956,Hotel Xaguate
196,Atuona,PF,77.77,clear sky,-9.8,-139.0333,Villa Enata
197,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
206,Bambous Virieux,MU,76.21,few clouds,-20.3428,57.7575,Casa Tia Villa
207,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
210,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
214,Bathsheba,BB,79.23,clear sky,13.2167,-59.5167,Atlantis Hotel
217,Sorong,ID,77.77,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
218,Kalmunai,LK,77.49,overcast clouds,7.4167,81.8167,VS Villa
231,Nouakchott,MR,84.13,broken clouds,18.0858,-15.9785,HOTEL IMAN
233,Lompoc,US,86.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
239,Buala,SB,75.67,heavy intensity rain,-8.145,159.5921,Maringe Lagoon Lodge
243,Bacolod,PH,77.04,overcast clouds,10.6667,122.95,Planta Hotel & Residences
245,Ukiah,US,80.65,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
254,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
259,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
262,Makokou,GA,81.59,overcast clouds,0.5738,12.8642,Hôtel
266,Honolulu,US,78.62,few clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
272,Mahanoro,MG,75.2,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
279,Vila Velha,BR,76.95,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
283,Acara,BR,79.88,overcast clouds,-1.9608,-48.1967,Hotel Vale do Acará
288,Cururupu,BR,82.63,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
297,Santiago,CL,86.29,few clouds,-33.4569,-70.6483,Che Lagarto Hostel Santiago
299,Santa Maria Da Vitoria,BR,83.79,broken clouds,-13.3947,-44.1886,Pousada Rio Current
300,Itarema,BR,82.58,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
305,Buchanan,LR,82.36,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
308,Culebra,PR,83.66,clear sky,18.303,-65.301,Palmetto Guesthouse
309,Coihueco,CL,84.94,clear sky,-36.6167,-71.8333,Frutillares Centro Coihueco
319,Karratha,AU,84.76,few clouds,-20.7377,116.8463,ibis Styles Karratha
321,San Jose,US,78.6,few clouds,37.3394,-121.895,The Westin San Jose
326,Maceio,BR,85.44,few clouds,-9.6658,-35.7353,Poutur Pousada
327,Morrope,PE,82.51,overcast clouds,-6.5417,-80.0111,CASA WAYRA HOTEL
343,Sunrise Manor,US,76.87,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
344,Port Blair,IN,77.16,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
357,Funadhoo,MV,81.84,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
358,Sola,VU,81.36,light rain,-13.8833,167.55,Leumerus Bungalows
