City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Anadyr,RU,64.75,177.4833,-35.52,73,64,6.8,broken clouds
1,Mahebourg,MU,-20.4081,57.7,76.24,79,12,1.59,few clouds
2,Zatoka,UA,46.0725,30.4654,37.94,71,0,4.03,clear sky
3,Butaritari,KI,3.0707,172.7902,81.46,78,79,15.26,broken clouds
4,Bluff,NZ,-46.6,168.3333,57.79,67,21,14.03,few clouds
5,Saskylakh,RU,71.9167,114.0833,2.57,92,93,12.62,overcast clouds
6,Provideniya,RU,64.3833,-173.3,-16.13,91,8,9.4,clear sky
7,Zhigansk,RU,66.7697,123.3711,-30.05,100,92,5.46,overcast clouds
8,Busselton,AU,-33.65,115.3333,59.09,90,54,4.27,broken clouds
9,Asau,RO,46.4333,26.4,38.39,90,18,5.86,few clouds
10,Muros,ES,42.7762,-9.0603,55.9,84,100,2.86,overcast clouds
11,Nikolskoye,RU,59.7035,30.7861,28.29,92,41,8.34,scattered clouds
12,Hithadhoo,MV,-0.6,73.0833,81.48,70,100,8.16,overcast clouds
13,Hisua,IN,24.8333,85.4167,53.35,60,0,5.66,clear sky
14,Rikitea,PF,-23.1203,-134.9692,79.03,73,4,16.28,clear sky
15,Kikwit,CD,-5.041,18.8162,74.59,79,46,1.59,scattered clouds
16,Manfredonia,IT,41.6259,15.9094,48.81,77,96,2.33,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,55.02,64,100,7.11,overcast clouds
18,Cidreira,BR,-30.1811,-50.2056,77.47,76,0,19.04,clear sky
19,Srednekolymsk,RU,67.45,153.6833,-38.2,100,31,6.06,scattered clouds
20,Kapaa,US,22.0752,-159.319,76.19,69,0,5.75,clear sky
21,Luderitz,NA,-26.6481,15.1594,78.48,61,100,16.15,overcast clouds
22,Mattru,SL,7.6244,-11.8332,78.91,76,7,6.78,clear sky
23,Mataura,NZ,-46.1927,168.8643,57.47,78,93,5.1,overcast clouds
24,Ostersund,SE,63.1792,14.6357,26.62,68,100,14.97,snow
25,Walvis Bay,NA,-22.9575,14.5053,72.09,83,16,3.09,moderate rain
26,Ponta Do Sol,PT,32.6667,-17.1,66.7,82,11,3.91,few clouds
27,Albany,US,42.6001,-73.9662,51.75,41,84,3.0,broken clouds
28,Ocos,GT,14.5094,-92.1933,92.73,59,0,11.52,clear sky
29,Lebu,CL,-37.6167,-73.65,61.83,62,0,23.6,clear sky
30,Aklavik,CA,68.2191,-135.0107,-19.48,92,27,6.71,scattered clouds
31,Baghdad,IQ,33.3406,44.4009,51.71,66,0,9.22,clear sky
32,Jamestown,US,42.097,-79.2353,54.72,42,100,27.63,overcast clouds
33,Kieta,PG,-6.2167,155.6333,78.03,86,100,1.68,light rain
34,Chuy,UY,-33.6971,-53.4616,79.32,67,94,15.93,overcast clouds
35,Adrar,MR,20.5022,-10.0711,65.71,16,38,11.9,scattered clouds
36,Shimoda,JP,34.6667,138.95,37.11,80,99,9.64,overcast clouds
37,Lakes Entrance,AU,-37.8811,147.981,60.17,88,95,3.06,overcast clouds
38,Hovd,MN,48.0056,91.6419,-14.31,86,88,4.23,overcast clouds
39,Iqaluit,CA,63.7506,-68.5145,1.13,77,100,0.0,light snow
40,Punta Arenas,CL,-53.15,-70.9167,57.31,62,0,32.21,clear sky
41,Vanimo,PG,-2.6741,141.3028,76.42,88,100,4.94,overcast clouds
42,Cordoba,AR,-31.4135,-64.1811,67.05,82,100,13.8,overcast clouds
43,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,28,0,18.41,clear sky
44,Hermanus,ZA,-34.4187,19.2345,67.89,88,0,5.57,clear sky
45,Jinchang,CN,38.4953,102.1739,23.68,80,100,7.65,overcast clouds
46,Ampanihy,MG,-24.7,44.75,74.37,87,43,13.18,scattered clouds
47,Lang Son,VN,21.8333,106.7333,54.52,96,100,4.5,overcast clouds
48,Krusa,DK,54.851,9.4013,35.28,80,4,11.5,clear sky
49,Vestmannaeyjar,IS,63.4427,-20.2734,35.04,68,100,15.46,overcast clouds
50,Broome,US,42.2506,-75.833,50.18,44,0,14.0,clear sky
51,Hilo,US,19.7297,-155.09,78.24,66,40,5.99,scattered clouds
52,New Norfolk,AU,-42.7826,147.0587,51.93,68,36,2.1,scattered clouds
53,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,88,75,5.75,broken clouds
54,Puerto Madryn,AR,-42.7692,-65.0385,72.16,22,0,5.06,clear sky
55,Esperance,AU,-33.8667,121.9,73.24,91,100,3.22,moderate rain
56,Puerto Escondido,MX,15.85,-97.0667,86.83,66,40,9.22,scattered clouds
57,Tasiilaq,GL,65.6145,-37.6368,14.16,59,100,5.57,overcast clouds
58,Carnarvon,AU,-24.8667,113.6333,78.87,73,1,2.3,clear sky
59,Linhares,BR,-19.3911,-40.0722,79.56,83,81,5.48,light rain
60,Jumla,NP,29.2747,82.1838,18.79,68,0,8.77,clear sky
61,Ilulissat,GL,69.2167,-51.1,24.82,80,75,6.91,light snow
62,Husavik,IS,66.0449,-17.3389,13.01,92,90,6.49,overcast clouds
63,Warragul,AU,-38.1667,145.9333,60.73,90,34,10.0,scattered clouds
64,Port Alfred,ZA,-33.5906,26.891,70.59,85,8,6.13,clear sky
65,Tiarei,PF,-17.5333,-149.3333,84.22,76,30,17.09,scattered clouds
66,Alofi,NU,-19.0595,-169.9187,82.29,78,75,8.05,broken clouds
67,Podgornoye,RU,51.735,39.1496,32.22,86,75,13.42,broken clouds
68,Morant Bay,JM,17.8815,-76.4093,82.02,75,26,12.48,scattered clouds
69,Metro,ID,-5.1131,105.3067,72.64,87,100,4.56,overcast clouds
70,Mar Del Plata,AR,-38.0023,-57.5575,62.87,72,100,23.02,overcast clouds
71,Fort Nelson,CA,58.8053,-122.7002,14.02,86,100,0.27,overcast clouds
72,Parana,AR,-31.732,-60.5238,83.03,30,100,21.63,overcast clouds
73,Baglan,AF,36.1307,68.7083,49.86,34,64,1.77,broken clouds
74,Migori,KE,-1.0634,34.4731,64.72,77,36,3.36,scattered clouds
75,Nishihara,JP,26.1842,127.7558,65.86,77,100,11.5,overcast clouds
76,Prince Rupert,CA,54.3161,-130.3201,39.65,63,100,1.01,overcast clouds
77,Pevek,RU,69.7008,170.3133,-28.39,100,97,7.11,overcast clouds
78,Flin Flon,CA,54.7682,-101.865,-13.16,53,20,3.44,few clouds
79,Khorixas,NA,-20.3667,14.9667,73.42,77,94,8.32,overcast clouds
80,Puerto Ayora,EC,-0.7393,-90.3518,82.36,87,91,5.99,overcast clouds
81,Bunbury,AU,-33.3333,115.6333,58.82,88,59,6.8,broken clouds
82,Cabo San Lucas,MX,22.8909,-109.9124,78.51,59,0,12.66,clear sky
83,Moussoro,TD,13.6408,16.4901,70.95,13,4,13.51,clear sky
84,San Juan,AR,-31.5375,-68.5364,70.25,61,74,19.64,broken clouds
85,Hasaki,JP,35.7333,140.8333,28.8,57,13,13.2,few clouds
86,Victoria,HK,22.2855,114.1577,66.94,88,34,3.0,scattered clouds
87,Moerai,PF,-22.4333,-151.3333,79.27,73,97,9.04,overcast clouds
88,Cherskiy,RU,68.75,161.3,-36.76,100,88,6.53,overcast clouds
89,Tobol,KZ,52.6844,62.5794,25.09,97,100,7.7,light snow
90,Isangel,VU,-19.55,169.2667,80.28,82,99,7.87,overcast clouds
91,Quthing,LS,-30.4,27.7003,68.52,29,0,0.85,clear sky
92,Kavieng,PG,-2.5744,150.7967,80.4,81,100,5.82,moderate rain
93,Deputatskiy,RU,69.3,139.9,-16.62,96,97,5.53,overcast clouds
94,Barrow,US,71.2906,-156.7887,-27.38,68,100,6.91,haze
95,Laurel,US,39.0993,-76.8483,67.55,29,0,14.97,clear sky
96,Namibe,AO,-15.1961,12.1522,75.88,83,79,2.48,broken clouds
97,Hobart,AU,-42.8794,147.3294,52.27,76,75,10.36,broken clouds
98,Nashua,US,42.7654,-71.4676,55.06,36,0,11.5,clear sky
99,Brae,GB,60.3964,-1.353,42.71,78,100,17.85,overcast clouds
100,Erzincan,TR,39.75,39.5,24.1,86,0,2.3,clear sky
101,Alghero,IT,40.5589,8.3181,47.98,87,0,2.3,clear sky
102,Biltine,TD,14.5333,20.9167,71.94,11,4,11.74,clear sky
103,Kahului,US,20.8947,-156.47,79.86,65,40,3.44,scattered clouds
104,Paita,PE,-5.0892,-81.1144,88.36,66,38,15.64,scattered clouds
105,Qaanaaq,GL,77.484,-69.3632,-23.89,62,0,7.34,clear sky
106,Coihaique,CL,-45.5752,-72.0662,68.61,40,0,10.36,clear sky
107,Vaini,TO,-21.2,-175.2,82.56,89,20,6.91,few clouds
108,Tucuma,BR,-0.1833,-50.05,78.75,89,100,6.49,heavy intensity rain
109,Kodiak,US,57.79,-152.4072,38.71,93,100,0.0,light rain
110,Naze,JP,28.3667,129.4833,57.38,66,100,7.78,overcast clouds
111,Kaitangata,NZ,-46.2817,169.8464,55.99,80,100,5.08,overcast clouds
112,Umm Kaddadah,SD,13.6017,26.6876,59.92,17,9,12.84,clear sky
113,Biak,ID,-0.9131,122.8766,75.76,82,100,1.36,overcast clouds
114,Fayaoue,NC,-20.65,166.5333,82.65,78,100,14.9,overcast clouds
115,Inirida,CO,3.8653,-67.9239,89.82,51,84,2.17,broken clouds
116,Ous,RU,60.9058,61.5186,7.65,94,100,9.57,light snow
117,Saint-Philippe,RE,-21.3585,55.7679,76.59,72,32,7.81,scattered clouds
118,San Quintin,MX,30.4833,-115.95,73.22,23,0,7.29,clear sky
119,Thompson,CA,55.7435,-97.8558,-10.8,76,6,8.39,clear sky
120,Saint George,US,37.1041,-113.5841,70.27,28,0,5.75,clear sky
121,Port-Gentil,GA,-0.7193,8.7815,80.96,82,20,10.16,few clouds
122,Margate,GB,51.3813,1.3862,41.31,74,95,1.01,overcast clouds
123,Lasa,IT,46.6166,10.7002,40.91,83,39,7.25,scattered clouds
